15:56:59,,,
15:57:01,,,
15:57:02,,,
15:57:04,,,
15:57:06,,,
15:57:08,,,
15:57:10,,,
15:57:11,,,
15:57:13,,,
15:57:15,,,
15:57:17,,,
15:57:19,,,
15:57:21,,,
15:57:22,,,
15:57:24,,,
15:57:26,,,
15:57:28,,,
15:57:30,,,
15:57:31,,,
15:57:33,,,
15:57:35,,,
15:57:37,,,
15:57:39,,,
15:57:41,,,
15:57:42,,,
15:57:44,,,
15:57:46,,,
15:57:48,,,
15:57:50,,,
15:57:52,,,
15:57:53,,,
15:57:55,,,
15:57:57,,,
15:57:59,,,
15:58:01,,,
15:58:02,,,
15:58:04,,,
15:58:06,,,
15:58:08,,,
15:58:10,,,
15:58:12,,,
15:58:13,,,
15:58:15,,,
15:58:17,,,
15:58:19,,,
15:58:21,,,
15:58:22,,,
15:58:24,,,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:26,106A sdd_res=0851AB89 sel_res=60 sens_res=0804,106B sensb_res=505B7D1B6B0000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:27,106A sdd_res=0866772D sel_res=60 sens_res=0804,106B sensb_res=5032D189E60000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:28,106A sdd_res=08C62B52 sel_res=60 sens_res=0804,106B sensb_res=50DEB50F250000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:29,106A sdd_res=089E5D85 sel_res=60 sens_res=0804,106B sensb_res=50A3574DDB0000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:30,106A sdd_res=087FF4FA sel_res=60 sens_res=0804,106B sensb_res=50F21C89060000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:31,106A sdd_res=084935D4 sel_res=60 sens_res=0804,106B sensb_res=503A16A1580000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:32,106A sdd_res=085B7DE5 sel_res=60 sens_res=0804,106B sensb_res=500C29BDCF0000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
15:58:33,106A sdd_res=084BC321 sel_res=60 sens_res=0804,106B sensb_res=500CC917BB0000000000817580,212F sensf_res=01012900029416331C01158B868FBECBFFFE00
